% Optimum gamma as a function of the amount of information preserved by the
% features. These values are based on experiments with the 'small_16_20.mat' dataset.
%
% 1st column shows the energy (information preserved) and 2nd column shows
% the optimum gamma value as estimated using smooth-preserving curve fitting
% on the experiment data.

0.335	16.958
0.336	16.906
0.337	16.854
0.338	16.802
0.339	16.750
0.340	16.698
0.341	16.646
0.342	16.594
0.343	16.543
0.344	16.491
0.345	16.440
0.346	16.388
0.347	16.337
0.348	16.286
0.349	16.235
0.350	16.184
0.351	16.133
0.352	16.082
0.353	16.031
0.354	15.980
0.355	15.930
0.356	15.879
0.357	15.829
0.358	15.778
0.359	15.728
0.360	15.678
0.361	15.628
0.362	15.578
0.363	15.528
0.364	15.478
0.365	15.428
0.366	15.378
0.367	15.328
0.368	15.279
0.369	15.229
0.370	15.180
0.371	15.131
0.372	15.081
0.373	15.032
0.374	14.983
0.375	14.934
0.376	14.885
0.377	14.836
0.378	14.788
0.379	14.739
0.380	14.690
0.381	14.642
0.382	14.593
0.383	14.545
0.384	14.497
0.385	14.448
0.386	14.400
0.387	14.352
0.388	14.304
0.389	14.256
0.390	14.209
0.391	14.161
0.392	14.113
0.393	14.066
0.394	14.018
0.395	13.971
0.396	13.924
0.397	13.876
0.398	13.829
0.399	13.782
0.400	13.735
0.401	13.688
0.402	13.642
0.403	13.595
0.404	13.548
0.405	13.502
0.406	13.455
0.407	13.409
0.408	13.362
0.409	13.316
0.410	13.270
0.411	13.224
0.412	13.178
0.413	13.132
0.414	13.086
0.415	13.040
0.416	12.995
0.417	12.949
0.418	12.904
0.419	12.858
0.420	12.813
0.421	12.768
0.422	12.722
0.423	12.677
0.424	12.632
0.425	12.587
0.426	12.542
0.427	12.498
0.428	12.453
0.429	12.408
0.430	12.364
0.431	12.319
0.432	12.275
0.433	12.231
0.434	12.186
0.435	12.142
0.436	12.098
0.437	12.054
0.438	12.010
0.439	11.967
0.440	11.923
0.441	11.879
0.442	11.836
0.443	11.792
0.444	11.749
0.445	11.705
0.446	11.662
0.447	11.619
0.448	11.576
0.449	11.533
0.450	11.490
0.451	11.447
0.452	11.404
0.453	11.362
0.454	11.319
0.455	11.277
0.456	11.234
0.457	11.192
0.458	11.150
0.459	11.108
0.460	11.065
0.461	11.023
0.462	10.981
0.463	10.940
0.464	10.898
0.465	10.856
0.466	10.815
0.467	10.773
0.468	10.732
0.469	10.690
0.470	10.649
0.471	10.608
0.472	10.567
0.473	10.526
0.474	10.485
0.475	10.444
0.476	10.403
0.477	10.362
0.478	10.322
0.479	10.281
0.480	10.241
0.481	10.200
0.482	10.160
0.483	10.120
0.484	10.080
0.485	10.039
0.486	9.999
0.487	9.960
0.488	9.920
0.489	9.880
0.490	9.840
0.491	9.801
0.492	9.761
0.493	9.722
0.494	9.683
0.495	9.643
0.496	9.604
0.497	9.565
0.498	9.526
0.499	9.487
0.500	9.448
0.501	9.410
0.502	9.371
0.503	9.332
0.504	9.294
0.505	9.255
0.506	9.217
0.507	9.179
0.508	9.141
0.509	9.102
0.510	9.064
0.511	9.026
0.512	8.989
0.513	8.951
0.514	8.913
0.515	8.876
0.516	8.838
0.517	8.801
0.518	8.763
0.519	8.726
0.520	8.689
0.521	8.652
0.522	8.615
0.523	8.578
0.524	8.541
0.525	8.504
0.526	8.467
0.527	8.431
0.528	8.394
0.529	8.357
0.530	8.321
0.531	8.285
0.532	8.249
0.533	8.212
0.534	8.176
0.535	8.140
0.536	8.104
0.537	8.069
0.538	8.033
0.539	7.997
0.540	7.962
0.541	7.926
0.542	7.891
0.543	7.855
0.544	7.820
0.545	7.785
0.546	7.750
0.547	7.715
0.548	7.680
0.549	7.645
0.550	7.610
0.551	7.576
0.552	7.541
0.553	7.507
0.554	7.472
0.555	7.438
0.556	7.404
0.557	7.369
0.558	7.335
0.559	7.301
0.560	7.267
0.561	7.233
0.562	7.200
0.563	7.166
0.564	7.132
0.565	7.099
0.566	7.065
0.567	7.032
0.568	6.999
0.569	6.965
0.570	6.932
0.571	6.899
0.572	6.866
0.573	6.833
0.574	6.801
0.575	6.768
0.576	6.735
0.577	6.703
0.578	6.670
0.579	6.638
0.580	6.606
0.581	6.573
0.582	6.541
0.583	6.509
0.584	6.477
0.585	6.445
0.586	6.413
0.587	6.382
0.588	6.350
0.589	6.318
0.590	6.287
0.591	6.255
0.592	6.224
0.593	6.193
0.594	6.162
0.595	6.131
0.596	6.100
0.597	6.069
0.598	6.038
0.599	6.007
0.600	5.976
0.601	5.946
0.602	5.915
0.603	5.885
0.604	5.855
0.605	5.824
0.606	5.794
0.607	5.764
0.608	5.734
0.609	5.704
0.610	5.674
0.611	5.644
0.612	5.615
0.613	5.585
0.614	5.556
0.615	5.526
0.616	5.497
0.617	5.467
0.618	5.438
0.619	5.409
0.620	5.380
0.621	5.351
0.622	5.322
0.623	5.293
0.624	5.265
0.625	5.236
0.626	5.208
0.627	5.179
0.628	5.151
0.629	5.122
0.630	5.094
0.631	5.066
0.632	5.038
0.633	5.010
0.634	4.982
0.635	4.954
0.636	4.926
0.637	4.899
0.638	4.871
0.639	4.844
0.640	4.816
0.641	4.789
0.642	4.762
0.643	4.735
0.644	4.708
0.645	4.681
0.646	4.654
0.647	4.627
0.648	4.600
0.649	4.573
0.650	4.547
0.651	4.520
0.652	4.494
0.653	4.468
0.654	4.441
0.655	4.415
0.656	4.389
0.657	4.363
0.658	4.337
0.659	4.311
0.660	4.285
0.661	4.260
0.662	4.234
0.663	4.209
0.664	4.183
0.665	4.158
0.666	4.133
0.667	4.107
0.668	4.082
0.669	4.057
0.670	4.032
0.671	4.007
0.672	3.983
0.673	3.958
0.674	3.933
0.675	3.909
0.676	3.884
0.677	3.860
0.678	3.836
0.679	3.811
0.680	3.787
0.681	3.763
0.682	3.739
0.683	3.715
0.684	3.691
0.685	3.668
0.686	3.644
0.687	3.621
0.688	3.597
0.689	3.574
